StartDate,EndDate,Duration__in_seconds_,RecordedDate,Q1.1,Q1.2,Q1.3,Q346,Q346_4_TEXT,Q348,Q352_1,Q352_2,Q352_3,Q352_4,Q354_1,Q354_2,Q354_3,Q354_4,Q354_5,Q356_1,Q356_2,Q356_3,Q358_1,Q358_2,Q358_3,Q358_4,Q360_1,Q360_2,Q360_3,Q360_4,Q362_1,Q362_2,Q362_3,Q362_4,Q364_1,Q364_2,Q364_3,Q364_4,Q366_1,Q366_2,Q366_3,Q366_4,Q366_5,Q366_6,Q366_7,Q366_8,Q366_9,Q366_10,Q366_11,Q366_12,Q368_1,Q368_2,Q368_3,Q368_4,Q368_5,Q368_6,Q368_7,Q368_8,Q368_9,Q368_10,Q368_11,Q368_12,Q370_1,Q370_2,Q370_3,Q370_4,Q370_5,Q370_6,Q370_7,Q370_8,Q370_9,Q370_10,Q370_11,Q370_12,Q372_1,Q372_2,Q372_3,Q372_4,Q372_5,Q372_6,Q372_7,Q372_8,Q372_9,Q372_10,Q372_11,Q372_12,Q372_13,Q372_14,Q372_15,Q372_16,Q372_17,Q372_18,Q372_19,Q372_20,Q372_21,Q372_22,Q372_23,Q372_24,Q372_25,Q372_26,Q372_27,Q372_28,Q372_29,Q372_30,Q372_31,Q372_32,Q372_33,Q372_34,Q372_35,Q372_36,Q372_37,Q372_38,Q372_39,Q372_40
9/27/17 13:12,9/27/17 13:25,751.00,9/27/17 13:25,19,2,5,1,,4,4,4,4,5,4,3,1,4,4,5,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,3,4,3,4,1,3,2,4,2,2,1,3,1,4,3,4,3,1,2,2,1,3,1,2,4,2,1,2,1,1,3,1,2,3,1,1,2,2,2,1
9/27/17 13:12,9/27/17 13:29,1046.00,9/27/17 13:29,19,2,5,1,,4,3,4,4,4,3,1,1,1,1,3,3,3,3,3,1,1,1,1,2,1,2,1,1,1,2,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,1,1,1,1,1,3,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
9/27/17 14:24,9/27/17 14:43,1119.00,9/27/17 14:43,19,2,5,1,,4,4,4,4,4,4,4,2,2,1,4,3,4,3,2,1,1,3,1,2,1,3,2,2,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,4,4,1,1,3,2,3,1,1,1,1,2,2,1,1,1,2,1,4,2,3,3,1,1,1,3,1,2,2,1,1,3,1,3,1,1,4,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1
9/27/17 14:32,9/27/17 16:04,5482.00,9/27/17 16:04,18,2,5,1,,4,5,5,5,5,5,5,5,4,2,3,2,2,4,4,2,2,3,3,3,2,2,1,1,1,2,1,2,2,2,1,1,6,1,6,6,1,1,1,6,6,3,3,3,2,3,3,2,2,1,2,2,2,3,3,2,2,3,3,2,2,1,3,3,2,2,1,1,1,1,2,1,1,4,1,1,2,1,1,2,1,4,2,2,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9/27/17 17:57,9/27/17 18:21,1430.00,9/27/17 18:21,18,2,5,1,,3,4,3,3,3,3,2,2,1,3,2,3,3,3,3,3,3,2,5,4,4,3,1,1,1,3,3,4,4,2,1,1,1,1,6,1,1,1,1,1,1,4,4,3,3,3,3,3,4,2,2,2,3,4,3,3,3,3,2,2,3,2,2,2,3,2,2,1,1,1,2,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
9/27/17 18:13,9/27/17 18:47,2019.00,9/27/17 18:47,19,2,5,1,,4,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,3,3,3,2,3,1,2,3,3,4,2,3,3,4,3,1,1,1,2,2,2,3,3,1,1,1,1,1,2,2,1,1,1,1,1,3,2,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1
9/27/17 18:15,9/27/17 18:47,1973.00,9/27/17 18:47,19,2,6,1,,4,5,5,5,5,5,3,4,4,4,3,2,1,3,3,3,3,3,3,3,3,3,1,1,1,3,2,4,4,3,1,1,1,1,1,6,2,2,1,1,1,1,1,3,2,2,2,2,2,1,1,1,1,3,2,2,2,2,2,2,3,2,2,2,2,4,2,3,4,1,1,1,3,4,4,1,1,1,1,3,3,2,3,2,4,4,3,2,2,2,3,1,2,1,2,3,2,2,2,3,1,2,1,2,1
9/27/17 19:14,9/27/17 19:31,1056.00,9/27/17 19:31,18,2,5,1,,3,2,1,2,1,1,1,1,1,1,2,2,1,3,3,1,1,2,1,4,1,3,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,2,2,2,1,1,4,3,1,1,3,1,1,1,1,2,1,1,4,3,1,1,2,2,1,2,1,1,1,2,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9/27/17 19:16,9/27/17 19:40,1437.00,9/27/17 19:40,20,1,2,2,,5,1,1,3,3,4,3,3,2,3,2,2,1,2,2,1,1,2,1,2,1,2,2,2,2,#NULL!,#NULL!,#NULL!,#NULL!,2,2,1,1,1,1,1,1,1,1,1,1,4,1,1,4,2,3,2,2,1,2,3,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,1,2,1,4,2,2,1,3,2,4,2,2,4,2,4,1,2,1,1,2,1,3,2,2,2,1,1,1,2,1,1,1,2,2,3,1,2,2
9/27/17 19:19,9/27/17 19:46,1623.00,9/27/17 19:46,18,2,2,1,,3,3,3,3,3,1,1,1,1,1,2,1,2,2,2,1,1,3,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,2,3,2,1,1,2,2,3,2,1,1,2,1,2,2,1,2,1,2,1,2,3,1,2,2,1,1,2,1,1,2,1,2,1,2,1,2,1,1,1
